"","nh03","nhGroup","nhTrt","nhHom","nhClass","nhSisben","nhPopD","nhDistCenter","nhQP03","nhPV03","nhTP03","nhBI03","nhCE03","nhNB03","nhMale","nhAgeYoung","nhAgeMid","nhMarDom","nhSepDiv","nhOwn","nhRent","nhEmp","nhAboveHS","nhHS","nhLogHom","BE","CE","PV","QP","TP","hom","nh","year","Group","HomCount2003","Pop2003","HomCount2008","Pop2008"
"210","210","T",1,27.14434,"2",0.322462972,443.6098613,7.07367294,0.212249846,0.311514346,0.899866887,0.756841582,0.669636702,13.97490124,0.285714285714286,0.285714285714286,0.571428571428571,0.285714285714286,0,0.428571428571429,0.428571428571429,0.714285714285714,0,0.857142857142857,3.30116855319187,-0.825151438792037,-0.510030949550254,-0.727166060487044,0.249420330232299,-1.57991469833381,0.0535018880496052,210,2003,"T",14,10772.96825,6,11440.2494
"211","211","T",1,21.53061,"2",0.422526073,401.9963836,7.07367294,0.29456244,0.273583192,0.71975594,0.568521139,0.654774094,0,0.363636363636364,0.363636363636364,0.363636363636364,0.272727272727273,0,0.818181818181818,0.181818181818182,0.454545454545455,0.0909090909090909,0.636363636363636,3.06947564353413,0.290355762843347,-0.800168755640314,-0.966915951189337,-0.29466587097161,-0.651006805530492,-0.00576514793086444,211,2003,"T",4,6563.807832,3,6970.372222
"401","401","C",0,11.84402,"3",0.228247294,352.9411668,3.617625827,0.318821266,0.358063541,0.57243362,0.780243808,0.544279259,19.01487443,0.571428571428571,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.571428571428571,0.428571428571429,0.285714285714286,0.142857142857143,0.571428571428571,2.47182309885663,-1.50950915668619,0.988231381286089,0.480137531936288,0.889697510165347,-0.0609841508443479,-0.154778046373981,401,2003,"C",14,10605.03991,2,11261.91952
"402","402","C",0,8.514995,"3",0.603460937,349.1501965,3.617625827,0.1001415,0.202089499,0.784848685,0.763328119,0.461611437,6.572044317,0.125,0.5,0.125,0.375,0.125,0.625,0.375,0.25,0,0.625,2.14182872691542,0.0845122627210481,0.0904058175570343,-1.20699901176573,0.603731308278033,0.0567643484842121,0.042232949267218,402,2003,"C",8,15383.69644,5,16336.5676
"403","403","C",0,28.34994,"2",0.616693048,300.6722529,3.617625827,0,0.180985486,0.896542725,0.551539482,0.591693124,23.62495026,0.5,0,0.5,0.833333333333333,0,0.333333333333333,0.166666666666667,0.333333333333333,0.166666666666667,0.5,3.34462491376941,1.45411530010615,-0.593973583826465,0.435247038998486,1.27014030725959,-1.41459938332271,0.206153929247817,403,2003,"C",12,6395.879489,14,6792.042343
"404","404","C",0,14.36268,"2",0.544680553,393.4305287,3.617625827,0.179923266,0.378972089,0.786281193,0.62637808,0.642865772,23.87952147,0.125,0.375,0.25,0.375,0.25,0.5,0.5,0,0,0.75,2.66463317573342,0.0321862197953199,-0.649401453038942,-0.312234310827856,0.491876866458776,-0.226477673816809,0.026228882036519,404,2003,"C",8,6304.614086,4,6695.123931
"405","405","C",0,8.69425,"1",0.779380321,573.8815488,3.617625827,0.087415871,0.239617915,0.739570568,0.762912829,0.631555738,18.10888591,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0,0.733333333333333,0.266666666666667,0.266666666666667,0.0666666666666667,0.4,2.16266188761671,0.0939670305749987,-1.17852562087233,0.543752747024911,0.736415688694003,-0.0545312955639842,0.200641161190081,405,2003,"C",23,27762.9358,19,29482.58106
"407","407","C",0,27.665795,"3",0.073041466,92.2190781,3.617625827,0.082795333,0.110129639,0.907402744,0.77746561,0.686638846,373.2550178,0.4,0,0.6,0.2,0.2,1,0,0.6,0.6,0.2,3.32019681260807,-0.454244721494755,-1.79990227065324,1.62267370386411,0.954766498406008,-2.12523750074191,0.171339562994141,407,2003,"C",5,2548.13007,5,2705.962075
"408","408","C",0,14.52021,"3",0.528496091,195.3534843,3.617625827,0.216910259,0.202510509,0.528121755,0.690050216,0.507487089,217.066421,0.3,0.1,0.3,0.5,0.1,0.3,0.5,0.3,0,0.7,2.67554147210198,0.908558125461307,2.09931052609983,-0.160496229792307,-3.08742838351771,0.147401033155442,0.145331552389063,408,2003,"C",3,4862.620708,4,5163.813014
"409","409","C",0,13.601475,"3",0.106016613,267.0138424,3.617625827,0.1692704,0.228182506,0.932422781,0.394078344,0.46135878,52.33979367,0.142857142857143,0.142857142857143,0,0.285714285714286,0.285714285714286,0.571428571428571,0.428571428571429,0.428571428571429,0.571428571428571,0.428571428571429,2.61017824274345,0.295575884620882,0.814652496953138,0.575496938043902,1.68443873662679,0.156736928485834,0.266802417748475,409,2003,"C",9,9626.674779,9,10222.95414
"410","410","C",0,14.261735,"3",0.15309215,376.958347,3.617625827,0.270635456,0.336493998,0.60778062,0.730259958,0.445502746,10.69532632,0.25,0.375,0.25,0.375,0.125,0.375,0.625,0.3125,0.125,0.8125,2.65758007658928,0.11562194163533,-0.288666220798868,0.244609584448992,-0.914566077310335,-0.305801514711544,0.326851846506008,410,2003,"C",13,14127.88449,16,15002.97024
"411","411","C",0,7.48472,"2",0.395253309,399.9409743,3.617625827,0.169197365,0.073448033,0.341550879,0.795953333,0.53660038,16.53146421,0.571428571428571,0.285714285714286,0.428571428571429,0.571428571428571,0,0.571428571428571,0.142857142857143,0.285714285714286,0.285714285714286,0.714285714285714,2.01286360902226,-0.747512951095555,-1.13566640592412,1.029668427858,-0.706703293549671,-0.0485638606856381,0.0926285527175056,411,2003,"C",4,6049.070955,3,6423.752376
"412","412","C",0,6.333425,"3",0.0918362,355.8671198,3.617625827,0.152300242,0.295625583,0.775024149,0.743947985,0.578361342,18.95188317,0.153846153846154,0.384615384615385,0.153846153846154,0.307692307692308,0.153846153846154,0.769230769230769,0.230769230769231,0.384615384615385,0,0.769230769230769,1.8458411640778,-0.608096008099909,-0.447384195919781,-1.03470392419715,-0.234978640717914,-0.0772602798504941,0.190439499975846,412,2003,"C",1,7972.945665,5,8466.79251
"413","413","C",0,23.63795,"3",0.169634265,266.2200913,3.617625827,0.198050329,0.161604152,0.686710249,0.766674795,0.545856132,15.77397593,0.333333333333333,0.5,0.166666666666667,0.388888888888889,0.0555555555555556,0.666666666666667,0.277777777777778,0.388888888888889,0.111111111111111,0.5,3.16285347134964,-0.0553613354928461,-0.163687517172931,0.466279346584616,-0.48750116925421,-0.303172066525138,0.275539144896056,413,2003,"C",19,9579.216769,19,10172.55657
